,Actual Data,Prediction,Residual
0,2801.0,2734.0,67.0
1,49.0,49.0,0.0
2,20.0,20.0,0.0
3,520.0,818.0,-298.0
4,32.0,40.0,-8.0
5,510.0,531.0,-21.0
6,106.0,107.0,-1.0
7,1073.0,1073.0,0.0
8,105.0,104.0,1.0
9,61.0,46.0,15.0
10,23.0,23.0,0.0
11,120.0,120.0,0.0
12,232.0,343.0,-111.0
13,319.0,331.0,-12.0
14,11.0,11.0,0.0
15,112.0,111.0,1.0
16,149.0,147.0,2.0
17,114.0,113.0,1.0
18,231.0,72.0,159.0
19,184.0,198.0,-14.0
20,104.0,133.0,-29.0
21,92.0,92.0,0.0
22,1685.0,1163.0,522.0
23,46.0,46.0,0.0
24,95.0,91.0,4.0
25,38.0,38.0,0.0
26,75.0,75.0,0.0
27,61.0,61.0,0.0
28,120.0,72.0,48.0
29,9.0,9.0,0.0
30,102.0,102.0,0.0
31,35.0,35.0,0.0
32,46.0,44.0,2.0
33,199.0,144.0,55.0
34,151.0,189.0,-38.0
35,46.0,49.0,-3.0
36,108.0,107.0,1.0
37,96.0,97.0,-1.0
38,6465.0,6299.0,166.0
39,102.0,102.0,0.0
40,170.0,165.0,5.0
41,157.0,155.0,2.0
42,704.0,670.0,34.0
43,51.0,51.0,0.0
44,113.0,113.0,0.0
45,36492.0,43135.0,-6643.0
46,41.0,38.0,3.0
47,558.0,659.0,-101.0
48,44.0,48.0,-4.0
49,91.0,91.0,0.0
50,11661.0,12033.0,-372.0
51,255.0,252.0,3.0
52,1429.0,2025.0,-596.0
53,730.0,715.0,15.0
54,187.0,143.0,44.0
55,162.0,115.0,47.0
56,242.0,236.0,6.0
57,698.0,403.0,295.0
58,261.0,312.0,-51.0
59,12.0,12.0,0.0
60,52.0,55.0,-3.0
61,1367.0,1338.0,29.0
62,477.0,588.0,-111.0
63,230.0,312.0,-82.0
64,149.0,168.0,-19.0
65,426.0,322.0,104.0
66,427.0,283.0,144.0
67,9.0,12.0,-3.0
68,117.0,117.0,0.0
69,20.0,26.0,-6.0
