,Region,Area,Population,Density per square kilometer,Senior citizen %,No of cases,Educational institutes,Hospitals,Supermarts/malls,Number of Households,Number of Notified Households,No. of household with water connection inside the house,Total number of water connections,No of households having private washroom,Density of retail store,Per capita income,Gender Ratio,Domestic Violence %,Internet Penetration %,Police to Population Ratio per 1000,Number of Kirana Shops,Number of Pharmacies,Number of Liquor Stores,Estimates of Alcoholism % in Population,% Unemployed(55%),Age Group Children %,Literacy Rate,Slum percentage,Agriculture and Food,Manufacturing,Mining,Electricity Gas Water,Construction,Trade Hotels Restaurants,Transport Storage Communication,Financing Real Estate Business Services,Community Social Public Admin,Rural,Semi Urban,Urban
0,Daman Diu DNH,6.68,65620.0,9823.353293,0.051,4.0,20.0,10.0,4.0,14582.0,14510.77,6607.205,,12017.21,65.0716245,212087,533.0,0.018433,0.7617712878,1.348244,427.0,44.0,15.0,62.6,3.1,11.185,0.09112,0.0,,,,,,,,,,0,1,0
1,Daman Diu DNH,2.9785,11029.0,3702.870572,0.051,2.0,3.0,4.0,3.0,2451.0,2438.88,1110.498,,2019.7779999999998,65.28243721,212087,575.0,0.018433,0.3381490421,1.348244,72.0,7.0,3.0,62.6,3.1,12.253,0.08918999999999999,0.0,,,,,,,,,,1,0,0
2,Daman Diu DNH,2.9307,18845.0,6430.204388,0.051,1.0,3.0,0.0,1.0,4188.0,4167.258,1897.4820000000002,,3451.1479999999997,64.73865747,212087,341.0,0.018433,0.3381490421,1.348244,122.0,13.0,4.0,62.6,3.1,8.98,0.08934,0.0,,,,,,,,,,1,0,0
3,Daman Diu DNH,4.2677,16206.0,3797.361576,0.051,4.0,5.0,1.0,1.0,3601.0,3583.687,1631.764,,2967.8590000000004,64.79081822,212087,318.0,0.018433,0.3381490421,1.348244,105.0,11.0,4.0,62.6,3.1,7.763,0.08472,0.0,,,,,,,,,,1,0,0
4,Daman Diu DNH,7.5338,18479.0,2452.812658,0.051,1.0,5.0,4.0,6.0,4106.0,4086.323,1860.63,,3384.1209999999996,64.93857893,212087,648.0,0.018433,0.3381490421,1.348244,120.0,12.0,4.0,62.6,3.1,13.128,0.08851,0.0,,,,,,,,,,1,0,0
5,Daman Diu DNH,6.0605,77913.0,12855.86998,0.051,1.0,6.0,2.0,6.0,17314.0,17229.16,7844.973000000001,,14268.47,64.94423267,212087,329.0,0.018433,0.7617712878,1.348244,506.0,52.0,13.0,62.6,3.1,10.63,0.08724,0.0,,,,,,,,,,0,1,0
6,Daman Diu DNH,6.4138,27317.0,4259.097571,0.051,3.0,3.0,3.0,6.0,6070.0,6040.6990000000005,2750.518,,5002.653,65.16088882,212087,356.0,0.018433,0.3381490421,1.348244,178.0,18.0,6.0,62.6,3.1,10.616,0.08696,0.0,,,,,,,,,,1,0,0
7,Daman Diu DNH,1.3828,5129.0,3709.140874,0.051,0.0,4.0,1.0,5.0,1140.0,1134.193,516.4333,,939.2909,64.34002729999999,212087,675.0,0.018433,0.3381490421,1.348244,33.0,3.0,1.0,62.6,3.1,11.933,0.08839,0.0,,,,,,,,,,1,0,0
8,Daman Diu DNH,2.8042,3057.0,1090.150489,0.051,0.0,0.0,0.0,0.0,679.3,676.0046,307.8059,,559.8386,65.42361793,212087,901.0,0.018433,0.3381490421,1.348244,20.0,2.0,1.0,62.6,3.1,9.646,0.09292,0.0,,,,,,,,,,1,0,0
9,Daman Diu DNH,2.6462,7935.0,2998.639559,0.051,0.0,4.0,4.0,2.0,1763.0,1754.693,798.9663,,1453.1629999999998,65.53245117,212087,817.0,0.018433,0.3381490421,1.348244,52.0,5.0,2.0,62.6,3.1,11.895,0.0868,0.0,,,,,,,,,,1,0,0
10,Daman Diu DNH,1.4795,7340.0,4961.1355189999995,0.051,0.0,3.0,1.0,8.0,1631.0,1623.119,739.0564,,1344.1989999999998,65.39509537,212087,327.0,0.018433,0.3381490421,1.348244,48.0,5.0,2.0,62.6,3.1,8.52,0.08956,0.0,,,,,,,,,,1,0,0
11,Daman Diu DNH,6.5918,9980.0,1514.002245,0.051,0.0,0.0,2.0,0.0,2218.0,2206.911,1004.875,,1827.671,65.13026052,212087,925.0,0.018433,0.3381490421,1.348244,65.0,7.0,2.0,62.6,3.1,9.472999999999999,0.08335,0.0,,,,,,,,,,1,0,0
12,Daman Diu DNH,0.5359,1743.0,3252.4724760000004,0.051,0.0,4.0,0.0,0.0,387.3,385.4354,175.5007,,319.2014,63.10958118,212087,1028.0,0.018433,0.3381490421,1.348244,11.0,1.0,1.0,62.6,3.0999999999999903,12.585,0.08473,0.0,,,,,,,,,,1,0,0
13,Daman Diu DNH,0.2724,511.0,1875.917768,0.051,0.0,0.0,0.0,0.0,113.6,112.9991,51.452020000000005,,93.58113,58.70841487,212087,1018.0,0.018433,0.3381490421,1.348244,3.0,0.0,1.0,62.6,3.0999999999999903,6.957000000000001,0.07882,0.0,,,,,,,,,,1,0,0
14,Daman Diu DNH,0.5259,1391.0,2644.9895420000003,0.051,0.0,2.0,0.0,0.0,309.1,307.5965,140.0582,,254.7385,64.70165349,212087,994.0,0.018433,0.3381490421,1.348244,9.0,1.0,1.0,62.6,3.0999999999999903,11.927999999999999,0.08537,0.0,,,,,,,,,,1,0,0
15,Daman Diu DNH,0.8106,1755.0,2165.062916,0.051,0.0,1.0,1.0,0.0,390.0,388.089,176.709,,321.399,62.67806268,212087,919.0,0.018433,0.3381490421,1.348244,11.0,1.0,1.0,62.6,3.0999999999999903,11.064,0.0811,0.0,,,,,,,,,,1,0,0
16,Daman Diu DNH,1.158,1297.0,1120.034542,0.051,0.0,2.0,0.0,0.0,288.2,286.8099,130.5935,,237.5239,61.68080185,212087,1049.0,0.018433,0.3381490421,1.348244,8.0,1.0,1.0,62.6,3.0999999999999903,13.029000000000002,0.08147,0.0,,,,,,,,,,1,0,0
17,Daman Diu DNH,1.1545,2802.0,2427.0246859999997,0.051,0.0,3.0,0.0,0.0,622.7,619.6156,282.1303,,513.1396,64.23982869,212087,939.0,0.018433,0.3381490421,1.348244,18.0,2.0,1.0,62.6,3.0999999999999903,11.898,0.08241,0.0,,,,,,,,,,1,0,0
18,Daman Diu DNH,0.3232,378.0,1169.554455,0.051,0.0,0.0,0.0,0.0,84.0,83.5884,38.0604,,69.2244,52.91005291,212087,962.0,0.018433,0.3381490421,1.348244,2.0,0.0,1.0,62.6,3.0999999999999903,14.51,0.0789,0.0,,,,,,,,,,1,0,0
19,Daman Diu DNH,0.299,1225.0,4096.989967,0.051,0.0,1.0,0.0,0.0,272.2,270.8883,123.3439,,224.3383,65.30612245,212087,928.0,0.018433,0.3381490421,1.348244,8.0,1.0,1.0,62.6,3.0999999999999903,11.004000000000001,0.08139,0.0,,,,,,,,,,1,0,0
20,Daman Diu DNH,0.6877,1617.0,2351.3159809999997,0.051,0.0,2.0,0.0,0.0,359.3,357.5726,162.8139,,296.1266,68.02721088,212087,859.0,0.018433,0.3381490421,1.348244,11.0,1.0,1.0,62.6,3.0999999999999903,10.449000000000002,0.08905,0.0,,,,,,,,,,1,0,0
21,Daman Diu DNH,0.9397,1723.0,1833.5639030000002,0.051,0.0,2.0,1.0,8.0,382.9,381.0127,173.487,,315.5387,63.84213581,212087,786.0,0.018433,0.3381490421,1.348244,11.0,1.0,1.0,62.6,3.0999999999999903,9.802,0.08713,0.0,,,,,,,,,,1,0,0
22,Daman Diu DNH,11.66,35551.0,3048.97084,0.051,1.0,,2.0,3.0,7900.0,7878.102,7725.6269999999995,,4642.960999999999,64.97707519,212087,1066.0,0.018433,0.3381490421,1.348244,231.0,24.0,8.0,62.6,3.0999999999999903,10.241,0.092,0.0,,,,,,,,,,1,0,0
23,Daman Diu DNH,0.67,14368.0,21444.77612,0.051,0.0,13.0,1.0,2.0,3193.0,3183.949,3122.3259999999996,,1876.461,64.72717149,212087,1022.0,0.018433,0.7617712878,1.348244,93.0,10.0,3.0,62.6,3.0999999999999903,14.985999999999999,0.07702,0.0,,,,,,,,,,0,1,0
24,Daman Diu DNH,7.4,6560.0,886.4864865000001,0.051,0.0,0.0,3.0,3.0,1458.0,1453.6960000000001,1425.5610000000001,,856.7360000000001,65.54878049,212087,1032.0,0.018433,0.3381490421,1.348244,43.0,4.0,2.0,62.6,3.0999999999999903,13.915,0.07384,0.0,,,,,,,,,,1,0,0
25,Daman Diu DNH,8.05,9170.0,1139.130435,0.051,0.0,13.0,4.0,4.0,2038.0,2032.0720000000001,1992.743,,1197.6019999999999,65.43075245,212087,974.0,0.018433,0.3381490421,1.348244,60.0,6.0,2.0,62.6,3.0999999999999903,12.443,0.07658,0.0,,,,,,,,,,1,0,0
26,Daman Diu DNH,10.27,1144.0,111.3924051,0.051,0.0,0.0,1.0,2.0,254.2,253.5104,248.6039,,149.4064,61.18881119,212087,983.0,0.018433,0.3381490421,1.348244,7.0,1.0,1.0,62.6,3.0999999999999903,15.183,0.07409,0.0,,,,,,,,,,1,0,0
27,Daman Diu DNH,6.8589,26399.0,3848.867894,0.0776,1.0,10.0,11.0,12.0,5866.0,5757.329000000001,1526.4489999999998,,3211.292,65.15398311,150076,591.0,0.009554,0.3381490421,0.762528,172.0,18.0,6.0,62.3,3.0999999999999903,12.57,0.09051000000000001,0.0,0.0,101.0,1.0,2.0,1.0,7.0,1.0,6.0,2.0,1,0,0
28,Daman Diu DNH,14.9559,25048.0,1674.790551,0.0776,1.0,30.0,4.0,2.0,5566.0,5462.69,1448.3310000000001,,3046.95,65.07505589,150076,718.0,0.009554,0.3381490421,0.762528,163.0,17.0,6.0,62.3,3.0999999999999903,12.761,0.08802,0.0,1.0,146.0,1.0,3.0,1.0,14.0,3.0,13.0,8.0,1,0,0
29,Daman Diu DNH,7.114400000000002,21291.0,2992.662768,0.0776,1.0,26.0,0.0,0.0,4731.0,4643.331,1231.093,,2589.9320000000002,64.81611949,150076,419.0,0.009554,0.3381490421,0.762528,138.0,14.0,5.0,62.3,3.0999999999999903,12.267999999999999,0.08521000000000001,0.0,0.0,82.0,1.0,2.0,1.0,2.0,0.0,2.0,1.0,1,0,0
30,Daman Diu DNH,7.3159,21116.0,2886.3161059999998,0.0776,1.0,0.0,0.0,0.0,4692.0,4605.165,1220.974,,2568.644,64.87971207,150076,498.0,0.009554,0.3381490421,0.762528,137.0,14.0,5.0,62.3,3.0999999999999903,13.329,0.08755,0.0,0.0,59.0,1.0,1.0,1.0,11.0,2.0,4.0,2.0,1,0,0
31,Daman Diu DNH,4.7653,20447.0,4290.810652,0.0776,1.0,0.0,0.0,0.0,4544.0,4459.264,1182.2910000000002,,2487.264,65.04621705,150076,602.0,0.009554,0.3381490421,0.762528,133.0,14.0,5.0,62.3,3.0999999999999903,14.387,0.08707999999999999,0.0,0.0,13.0,0.0,0.0,0.0,5.0,1.0,5.0,3.0,1,0,0
32,Daman Diu DNH,17.1768,147348.0,8578.314936,0.0776,2.0,37.0,12.0,6.0,32744.0,32134.96,8519.989,,17924.07,65.01615224,150076,755.0,0.009554,0.7617712878,0.762528,958.0,99.0,34.0,62.3,3.0999999999999903,14.481,0.09101000000000001,0.0,0.0,1235.0,1.0,1.0,1.0,20.0,4.0,29.0,10.0,0,1,0
33,Daman Diu DNH,31.9696,19727.0,617.0549522000001,0.0776,1.0,38.0,0.0,0.0,4384.0,4302.24,1140.6589999999999,,2399.68,64.88568966,150076,791.0,0.009554,0.3381490421,0.762528,128.0,13.0,5.0,62.3,3.0999999999999903,14.689,0.0552,0.0,2.0,301.0,3.0,6.0,3.0,8.0,2.0,3.0,6.0,1,0,0
34,Daman Diu DNH,25.4391,22302.0,876.6819581,0.0776,1.0,34.0,0.0,0.0,4956.0,4863.818,1289.5510000000002,,2712.914,65.01659044,150076,924.0,0.009554,0.3381490421,0.762528,145.0,15.0,5.0,62.3,3.0999999999999903,16.261,0.06045,0.0,2.0,125.0,1.0,2.0,1.0,7.0,1.0,3.0,3.0,1,0,0
35,Daman Diu DNH,23.5439,12996.0,551.9901121,0.0776,0.0,29.0,0.0,0.0,2888.0,2834.283,751.4576,,1580.891,64.63527239,150076,940.0,0.009554,0.3381490421,0.762528,84.0,9.0,3.0,62.3,3.0999999999999903,15.758,0.059989999999999995,0.0,2.0,0.0,0.0,0.0,0.0,4.0,1.0,3.0,3.0,1,0,0
